,CAlC-QE,CAlC-QE,CAlC-QE,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CDCL-OCAC,CDCL-OCAC,CDCL-OCAC,OptiMathSat,OptiMathSat,OptiMathSat
,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes
nl_counters/fn-counters__instance_5_50.smt2,timeout,63018,39488,timeout,63015,39460,,,timeout,63017,39492,,,timeout,63019,114100,timeout,63137,2368480
nl_counters/fn-counters__instance_2_25.smt2,timeout,63065,1067736,timeout,63048,1068236,0.0,0.0,timeout,63052,1071560,0.0,0.0,timeout,63018,36952,timeout,63099,1571396
nl_counters/fn-counters__instance_7_10.smt2,timeout,63079,1951408,timeout,63099,1945584,0.0,0.0,timeout,63119,1950276,0.0,0.0,timeout,63018,67900,timeout,63136,2305932
sec_clearance_sdac/security-clearance__security-clearance-9-3_50.smt2,timeout,63046,291584,timeout,63026,290572,,,timeout,63027,290148,,,timeout,63028,159272,timeout,63141,1963780
sec_clearance_sdac/security-clearance__security-clearance-10-5_75.smt2,timeout,63106,1621800,timeout,63067,1640700,,,timeout,63052,1650720,,,timeout,63032,318460,timeout,63105,1838296
sec_clearance_sdac/security-clearance__security-clearance-7-4_25.smt2,timeout,63021,88672,timeout,63017,89812,,,timeout,63017,88748,,,timeout,63023,141936,timeout,63156,1848140
sec_clearance_sdac/security-clearance__security-clearance-4-5_15.smt2,timeout,63020,25248,timeout,63016,25224,,,timeout,63013,25256,,,timeout,63017,50988,timeout,63100,1937424
sec_clearance_sdac/security-clearance__security-clearance-5-5_25.smt2,timeout,63022,65960,timeout,63018,65980,,,timeout,63016,65964,,,timeout,63019,104004,timeout,63097,1969540
sec_clearance_sdac/security-clearance__security-clearance-9-3_25.smt2,timeout,63021,97748,timeout,63023,97724,,,timeout,63022,99380,,,timeout,63026,135332,timeout,63099,1899692
sec_clearance_sdac/security-clearance__security-clearance-5-4_50.smt2,timeout,63090,132952,timeout,63020,132152,,,timeout,63022,132096,,,timeout,63028,115480,timeout,63249,1897268
sec_clearance_sdac/security-clearance__security-clearance-10-4_75.smt2,timeout,63071,1139120,timeout,63058,1140004,,,timeout,63054,1164144,,,timeout,63040,287636,timeout,63235,2295212
sec_clearance_sdac/security-clearance__security-clearance-2-2_10.smt2,timeout,63027,133092,timeout,63024,143056,,,timeout,63018,143248,0.0,0.0,timeout,63031,562332,timeout,63147,1266532
sec_clearance_sdac/security-clearance__security-clearance-6-3_25.smt2,timeout,63025,48332,timeout,63014,48304,,,timeout,63018,48332,,,timeout,63021,112072,timeout,63120,1657548
sec_clearance_sdac/security-clearance__security-clearance-7-4_10.smt2,timeout,63027,29480,timeout,63016,29196,,,timeout,63018,28236,,,timeout,63019,54136,timeout,63118,2491132
sec_clearance_sdac/security-clearance__security-clearance-9-2_15.smt2,timeout,63020,32576,timeout,63015,32552,,,timeout,63013,32580,,,timeout,63018,91060,timeout,63123,2111840
sec_clearance_sdac/security-clearance__security-clearance-7-5_20.smt2,timeout,63024,90992,timeout,63026,89176,,,timeout,63022,90860,,,timeout,63038,116900,timeout,63113,2032356
sec_clearance_sdac/security-clearance__security-clearance-6-5_15.smt2,timeout,63024,46416,timeout,63016,46392,,,timeout,63014,46420,,,timeout,63022,74440,timeout,63096,1917976
sec_clearance_sdac/security-clearance__security-clearance-3-2_10.smt2,timeout,63048,232172,timeout,63022,233120,0.0,0.0,timeout,63021,233928,0.0,0.0,timeout,63018,31712,timeout,63111,1506352
sec_clearance_sdac/security-clearance__security-clearance-5-4_100.smt2,timeout,63029,412592,timeout,63032,413128,,,timeout,63030,412412,,,timeout,63033,217524,timeout,63119,2377168
sec_clearance_sdac/security-clearance__security-clearance-6-5_50.smt2,timeout,63031,267388,timeout,63027,268852,,,timeout,63026,269032,,,timeout,63021,151852,timeout,63178,2024436
sec_clearance_sdac/security-clearance__security-clearance-8-5_100.smt2,timeout,63061,1551924,timeout,63087,1617184,,,timeout,63063,1592112,,,timeout,63035,344604,timeout,63096,2344268
sec_clearance_sdac/security-clearance__security-clearance-10-2_100.smt2,timeout,63062,705068,timeout,63036,720768,,,timeout,63052,715204,,,timeout,63033,253264,timeout,63117,1642472
sec_clearance_sdac/security-clearance__security-clearance-6-3_20.smt2,timeout,63018,36440,timeout,63016,37092,,,timeout,63013,36444,,,timeout,63020,82952,timeout,63118,2022128
sec_clearance_sdac/security-clearance__security-clearance-2-4_100.smt2,timeout,63020,79304,timeout,63014,79280,,,timeout,63023,79308,,,timeout,63018,109596,timeout,63040,264564
sec_clearance_sdac/security-clearance__security-clearance-5-5_50.smt2,timeout,63024,182292,timeout,63044,182272,,,timeout,63017,182300,,,timeout,63021,122104,timeout,63201,1706668
sec_clearance_sdac/security-clearance__security-clearance-3-5_15.smt2,timeout,63071,1846656,timeout,63163,1838016,0.0,0.0,timeout,63071,1841764,0.0,0.0,timeout,63019,45976,timeout,63128,2120628
sec_clearance_sdac/security-clearance__security-clearance-10-4_100.smt2,timeout,63064,1671084,timeout,63089,1753668,,,timeout,63073,1769736,,,timeout,63049,357920,timeout,63080,2177476
sec_clearance_sdac/security-clearance__security-clearance-10-4_50.smt2,timeout,63048,581580,timeout,63030,580412,,,timeout,63034,582244,,,timeout,63023,214472,timeout,63164,1955116
sec_clearance_sdac/security-clearance__security-clearance-8-4_25.smt2,timeout,63020,116000,timeout,63021,114696,,,timeout,63017,114724,,,timeout,63019,98196,timeout,63139,2175000
sec_clearance_sdac/security-clearance__security-clearance-6-4_15.smt2,timeout,63019,34896,timeout,63014,34872,,,timeout,63014,35828,,,timeout,63013,74840,timeout,63191,2116176
sec_clearance_sdac/security-clearance__security-clearance-3-3_25.smt2,timeout,63073,1696772,timeout,63070,1680688,,,timeout,63162,1632616,0.0,0.0,timeout,63014,58944,timeout,63075,1874320
sec_clearance_sdac/security-clearance__security-clearance-7-3_35.smt2,timeout,63019,100836,timeout,63018,98932,,,timeout,63019,99876,,,timeout,63053,95748,timeout,63122,2226996
sec_clearance_sdac/security-clearance__security-clearance-3-2_50.smt2,timeout,63022,29692,timeout,63014,29672,,,timeout,63019,29700,,,timeout,63025,130512,timeout,63214,2020900
sec_clearance_sdac/security-clearance__security-clearance-4-4_35.smt2,timeout,63028,54024,timeout,63018,54576,,,timeout,63018,54712,,,timeout,63021,111876,timeout,63172,2009848
sec_clearance_sdac/security-clearance__security-clearance-4-3_100.smt2,timeout,63018,178108,timeout,63023,178016,,,timeout,63023,177012,,,timeout,63028,168916,timeout,63231,1560052
sec_clearance_sdac/security-clearance__security-clearance-9-3_20.smt2,timeout,63018,72736,timeout,63016,72120,,,timeout,63025,72600,,,timeout,63035,142580,timeout,63174,1798576
sec_clearance_sdac/security-clearance__security-clearance-6-3_15.smt2,timeout,63021,26224,timeout,63016,26200,,,timeout,63016,26228,,,timeout,63022,64108,timeout,63187,2115144
sec_clearance_sdac/security-clearance__security-clearance-8-3_20.smt2,timeout,63030,57924,timeout,63017,57896,,,timeout,63020,57924,,,timeout,63023,121360,timeout,63103,2151172
sec_clearance_sdac/security-clearance__security-clearance-4-5_35.smt2,timeout,63024,70928,timeout,63019,70904,,,timeout,63021,70932,,,timeout,63024,118304,timeout,63114,2080236
sec_clearance_sdac/security-clearance__security-clearance-4-5_100.smt2,timeout,63045,367956,timeout,63023,367468,,,timeout,63028,367940,,,timeout,63027,198516,timeout,63112,2095000
sec_clearance_sdac/security-clearance__security-clearance-4-2_100.smt2,timeout,63026,115524,timeout,63017,115040,,,timeout,63020,115940,,,timeout,63026,163172,timeout,63098,1283804
sec_clearance_sdac/security-clearance__security-clearance-6-5_35.smt2,timeout,63021,149676,timeout,63018,149652,,,timeout,63024,149680,,,timeout,63024,107884,timeout,63165,1905400
sec_clearance_sdac/security-clearance__security-clearance-9-4_100.smt2,timeout,63073,1356056,timeout,63049,1448736,,,timeout,63050,1441404,,,timeout,63039,320724,timeout,63132,2347920
sec_clearance_sdac/security-clearance__security-clearance-4-3_20.smt2,timeout,63016,21308,timeout,63016,21284,,,timeout,63013,21312,,,timeout,63020,58284,timeout,63088,1566828
sec_clearance_sdac/security-clearance__security-clearance-10-3_50.smt2,timeout,63039,369308,timeout,63030,367448,,,timeout,63028,368572,,,timeout,63027,183928,timeout,63116,2045396
sec_clearance_sdac/security-clearance__security-clearance-10-5_35.smt2,timeout,63034,458648,timeout,63036,458624,,,timeout,63031,458652,,,timeout,63020,172348,timeout,63093,1914964
sec_clearance_sdac/security-clearance__security-clearance-7-3_100.smt2,timeout,63039,551988,timeout,63035,552160,,,timeout,63038,552588,,,timeout,63023,258044,timeout,63089,1912808
sec_clearance_sdac/security-clearance__security-clearance-9-4_75.smt2,timeout,63056,923872,timeout,63051,923888,,,timeout,63045,924792,,,timeout,63027,268236,timeout,63293,2485464
sec_clearance_sdac/security-clearance__security-clearance-10-2_75.smt2,timeout,63032,434636,timeout,63031,434928,,,timeout,63029,435332,,,timeout,63023,216060,timeout,63080,1733484
sec_clearance_sdac/security-clearance__security-clearance-4-3_50.smt2,timeout,63020,62960,timeout,63018,62936,,,timeout,63018,62964,,,timeout,63020,167104,timeout,63080,1284464
sec_clearance_sdac/security-clearance__security-clearance-10-3_20.smt2,timeout,63018,88696,timeout,63017,87104,,,timeout,63028,88968,,,timeout,63021,176868,timeout,63326,2159408
sec_clearance_sdac/security-clearance__security-clearance-6-4_50.smt2,timeout,63028,186976,timeout,63018,186952,,,timeout,63023,186980,,,timeout,63027,125564,timeout,63251,2228180
sec_clearance_sdac/security-clearance__security-clearance-3-4_75.smt2,timeout,63021,98832,timeout,63019,99204,,,timeout,63021,99640,,,timeout,63026,124396,timeout,63121,1885744
sec_clearance_sdac/security-clearance__security-clearance-5-4_10.smt2,timeout,63083,1224452,timeout,63061,1212492,0.0,0.0,timeout,63072,1214832,0.0,0.0,timeout,63024,131968,timeout,63185,2443952
sec_clearance_sdac/security-clearance__security-clearance-8-2_25.smt2,timeout,63026,51588,timeout,63016,51328,,,timeout,63016,51356,,,timeout,63018,159948,timeout,63094,1590016
