,CAlC-QE,CAlC-QE,CAlC-QE,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CDCL-OCAC,CDCL-OCAC,CDCL-OCAC,OptiMathSat,OptiMathSat,OptiMathSat
,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes
20211101-Geogebra/Triangle-Bottema1_17.smt2,timeout,63020,55308,timeout,63018,47480,0.0,0.0,timeout,63027,93480,0.0,0.0,sat,5075,16608,timeout,63029,364280
20211101-Geogebra/RegNonagon-Diagonal_Side.smt2,timeout,63020,139304,timeout,63019,115020,0.0,0.0,timeout,63017,116424,0.0,0.0,timeout,63014,69208,timeout,63075,64516
20211101-Geogebra/RegHexagon-Diagonal_Side.smt2,sat,3245,7444,sat,2580,7352,0.0,0.0,sat,5465,13120,0.0,0.0,timeout,63013,36640,timeout,63023,138044
20211101-Geogebra/IsoTriangle-Median_Perimeter_a1.smt2,timeout,63017,83620,timeout,63016,83608,0.0,0.0,sat,53,5460,0.0,0.0,sat,154,16352,timeout,63026,360004
20211101-Geogebra/Triangle-2Sides_Medians_a.smt2,timeout,63023,73260,timeout,63021,65852,0.0,0.0,timeout,63020,65920,0.0,0.0,timeout,63017,145532,timeout,63019,171784
20211101-Geogebra/IsoRightTriangle-Bottema1_5a.smt2,timeout,63017,64048,timeout,63019,63012,0.0,0.0,timeout,63016,32560,0.0,0.0,timeout,63025,85956,timeout,63017,100536
20211101-Geogebra/RightTriangle-Bottema1_1b.smt2,timeout,63015,25340,timeout,63013,25432,0.0,0.0,timeout,63020,63360,0.0,0.0,timeout,63019,61704,timeout,63017,93508
20211101-Geogebra/KochanskiPiApproximation.smt2,sat,114,5368,sat,69,5300,0.0,0.0,sat,55,5344,0.0,0.0,sat,2772,17056,timeout,63021,174772
20211101-Geogebra/Triangle-Bottema1_14.smt2,sat,182,7180,sat,213,7128,0.0,0.0,sat,55882,12932,0.0,0.0,sat,200,15472,timeout,63031,225912
20211101-Geogebra/IsoRightTriangle-Bottema1_1a.smt2,sat,48,5128,sat,32,5084,0.0,0.0,sat,26,5108,0.0,0.0,sat,87,15000,timeout,63019,88236
20211101-Geogebra/IsoRightTriangle-Bottema1_6b.smt2,timeout,63025,265280,timeout,63028,265240,0.0,0.0,sat,58,5444,0.0,0.0,sat,261,16484,timeout,63016,150196
20211101-Geogebra/EulerInequality_IsoTriangle-CircumRadius_InRadius.smt2,timeout,63017,67788,timeout,63018,66916,0.0,0.0,timeout,63114,67348,0.0,0.0,timeout,63017,71408,timeout,63019,200120
20211101-Geogebra/IsoTriangle-Bottema6_1a.smt2,timeout,63025,50864,timeout,63021,50824,0.0,0.0,timeout,63019,102880,0.0,0.0,timeout,63013,103636,timeout,63016,93528
20211101-Geogebra/IsoTriangle-Bottema1_1a.smt2,sat,39,5336,sat,43,5328,0.0,0.0,sat,26,5216,0.0,0.0,sat,45,15496,timeout,63014,82132
20211101-Geogebra/RegOctagon-Diagonal_Side.smt2,timeout,63016,89804,timeout,63024,106896,0.0,0.0,timeout,63017,91108,0.0,0.0,timeout,63015,40588,timeout,63014,146628
20211101-Geogebra/IsoRightTriangle-Bottema1_2a.smt2,timeout,63023,46800,timeout,63016,46776,0.0,0.0,sat,77,5324,0.0,0.0,sat,159,16248,timeout,63018,127708
20211101-Geogebra/IsoTriangle-Bottema1_19b.smt2,timeout,63024,62540,sat,263,5696,0.0,0.0,sat,27,5144,0.0,0.0,sat,83,16040,timeout,63021,149228
20211101-Geogebra/IsoRightTriangle-Bottema8_1b.smt2,timeout,63018,125132,timeout,63025,125244,0.0,0.0,sat,57527,31900,0.0,0.0,sat,110,16160,timeout,63031,93224
20211101-Geogebra/IsoRightTriangle-Bottema1_17a.smt2,timeout,63017,89140,timeout,63052,87340,0.0,0.0,timeout,63015,17016,0.0,0.0,timeout,63028,22124,timeout,63018,100684
20211101-Geogebra/IsoRightTriangle-Bottema4_2b.smt2,sat,107,5584,sat,67,5552,0.0,0.0,sat,71,5520,0.0,0.0,sat,57,16212,timeout,63025,154184
20211101-Geogebra/IsoRightTriangle-Bottema1_15a.smt2,timeout,63030,34528,timeout,63030,34296,0.0,0.0,timeout,63021,34676,0.0,0.0,timeout,63024,27420,timeout,63020,137148
20211101-Geogebra/Triangle-Bottema1_3.smt2,timeout,63017,75916,timeout,63018,70456,0.0,0.0,timeout,63017,50308,0.0,0.0,timeout,63012,28204,timeout,63033,175644
20211101-Geogebra/IsoRightTriangle-Bottema1_23b.smt2,timeout,63015,36880,timeout,63017,36732,0.0,0.0,sat,54,5412,0.0,0.0,sat,225,16260,timeout,63021,161468
20211101-Geogebra/IsoTriangle-Perimeter_CircumRadius_a.smt2,timeout,63018,22088,timeout,63018,22060,0.0,0.0,timeout,63020,22116,0.0,0.0,timeout,63014,20524,timeout,63021,240196
20211101-Geogebra/Triangle-Bottema1_8.smt2,timeout,63023,37772,timeout,63015,37696,0.0,0.0,timeout,63018,21720,0.0,0.0,sat,3467,16784,timeout,63028,204216
20211101-Geogebra/Triangle-SymmHomPoly_3-2-2.smt2,timeout,63035,198980,timeout,63024,199076,0.0,0.0,timeout,63016,19124,0.0,0.0,sat,2310,16796,timeout,63019,92700
20211101-Geogebra/RightTriangle-Bottema5_3b.smt2,timeout,63018,126808,timeout,63021,126780,0.0,0.0,timeout,63017,83264,0.0,0.0,sat,27342,19488,timeout,63021,224092
20211101-Geogebra/RightTriangle-Bottema5_3a.smt2,timeout,63015,41472,timeout,63019,41432,0.0,0.0,timeout,63040,120736,0.0,0.0,timeout,63019,44856,timeout,63024,120624
20211101-Geogebra/Triangle-Bottema1_19.smt2,timeout,63023,211380,timeout,63022,205272,0.0,0.0,sat,4237,7492,1.0,0.0,sat,2684,16308,timeout,63025,80800
20211101-Geogebra/IsoRightTriangle-Bottema1_17b.smt2,timeout,63015,22804,timeout,63017,22752,0.0,0.0,timeout,63012,22788,0.0,0.0,timeout,63022,24328,timeout,63023,144424
20211101-Geogebra/IsoRightTriangle-Bottema1_2b.smt2,timeout,63014,60224,timeout,63019,60152,0.0,0.0,sat,62,5448,0.0,0.0,sat,213,16484,timeout,63020,156484
20211101-Geogebra/IsoRightTriangle-Bottema6_1b.smt2,timeout,63015,59076,timeout,63017,59040,0.0,0.0,sat,65,5468,0.0,0.0,sat,171,16440,timeout,63019,157080
20211101-Geogebra/OposicionsSecundariaCatalunya2018-2_4b.smt2,timeout,63021,16456,timeout,63016,12200,0.0,0.0,timeout,63019,66152,0.0,0.0,timeout,63013,63192,timeout,63027,747916
20211101-Geogebra/Triangle-SymmHomPoly_3-3-1.smt2,timeout,63018,80396,timeout,63019,80300,0.0,0.0,timeout,63018,64956,0.0,0.0,timeout,63014,18652,timeout,63020,162824
20211101-Geogebra/IsoTriangle-Median_Perimeter_a2.smt2,timeout,63014,29708,timeout,63018,29668,0.0,0.0,sat,3596,10684,0.0,0.0,sat,354,16072,timeout,63017,126904
20211101-Geogebra/TriangleInequality_Triangle-a+b_c.smt2,timeout,63015,64052,timeout,63032,65784,0.0,0.0,timeout,63024,65752,0.0,0.0,sat,18097,34572,timeout,63018,178032
20211101-Geogebra/Triangle-Bottema1_7.smt2,timeout,63016,45312,timeout,63014,45296,0.0,0.0,timeout,63013,14652,0.0,0.0,sat,5251,16388,timeout,63021,161260
20211101-Geogebra/IsoRightTriangle-Bottema1_3a.smt2,timeout,63033,725200,timeout,63048,725248,0.0,0.0,timeout,63024,195800,0.0,0.0,timeout,63011,23536,timeout,63018,135076
20211101-Geogebra/Triangle-Area_Perimeter_a.smt2,sat,7042,14548,sat,4723,14236,0.0,0.0,timeout,63059,1000232,0.0,0.0,sat,74,16100,timeout,63021,207124
20211101-Geogebra/IsoRightTriangle-Bottema1_15b.smt2,timeout,63014,46288,timeout,63018,46244,0.0,0.0,timeout,63018,46312,0.0,0.0,timeout,63020,112092,timeout,63025,168244
20211101-Geogebra/RightTriangle-Bottema6_1b.smt2,timeout,63016,83540,timeout,63016,83304,0.0,0.0,sat,932,6076,0.0,0.0,sat,233,16432,timeout,63019,177812
20211101-Geogebra/IsoRightTriangle-Bottema1_19b.smt2,sat,46,5144,sat,33,5104,0.0,0.0,sat,26,5136,0.0,0.0,sat,42,15144,timeout,63017,127468
20211101-Geogebra/PythagoreanGeneralization_Triangle-aa+bb_cc.smt2,timeout,63015,21216,timeout,63014,21256,0.0,0.0,timeout,63016,16528,0.0,0.0,timeout,63012,19196,timeout,63037,492948
20211101-Geogebra/Triangle-Perimeter_2Medians_a.smt2,timeout,63232,109820,timeout,63023,109164,0.0,0.0,timeout,63022,109212,0.0,0.0,timeout,63014,46680,timeout,63019,166188
20211101-Geogebra/IsoRightTriangle-Bottema1_4b.smt2,sat,5240,6868,sat,5074,6840,0.0,0.0,sat,56,5324,0.0,0.0,sat,112,16316,timeout,63019,138360
20211101-Geogebra/IsoRightTriangle-Bottema1_4a.smt2,sat,7129,10280,sat,5826,10260,0.0,0.0,sat,56,5536,0.0,0.0,sat,38,15488,timeout,63017,88580
20211101-Geogebra/RightTriangle-Bottema11_20a.smt2,sat,70,5480,sat,69,5468,0.0,0.0,sat,63,5532,0.0,0.0,sat,567,16352,timeout,63099,141260
20211101-Geogebra/IsoTriangle-Bottema6_1b.smt2,timeout,63014,60136,timeout,63019,42336,0.0,0.0,timeout,63018,52436,0.0,0.0,sat,2767,16556,timeout,63015,153704
20211101-Geogebra/RegHexagon-ProductDiagonals_CircumRadius.smt2,timeout,63016,31868,timeout,63016,32028,0.0,0.0,timeout,63016,21760,0.0,0.0,timeout,63015,24288,timeout,63018,184460
20211101-Geogebra/IsoTriangle-Perimeter_CircumRadius_c.smt2,timeout,63031,93580,timeout,63018,93536,0.0,0.0,timeout,63025,193448,0.0,0.0,timeout,63013,42716,timeout,63024,231360
20211101-Geogebra/IsoRightTriangle-Bottema1_9a.smt2,timeout,63015,38428,timeout,63061,38400,0.0,0.0,timeout,63016,56336,0.0,0.0,sat,216,16212,timeout,63017,100272
20211101-Geogebra/OposicionsSecundariaCatalunya2018-2_4a.smt2,timeout,63016,35708,timeout,63033,35660,0.0,0.0,timeout,63015,35436,0.0,0.0,timeout,63013,24788,timeout,63025,244256
20211101-Geogebra/IsoTriangle-Area_Perimeter_a.smt2,sat,45,5300,sat,33,5272,0.0,0.0,sat,28,5180,0.0,0.0,sat,224,15344,timeout,63016,92496
20211101-Geogebra/IsoRightTriangle-Bottema1_7a.smt2,timeout,63021,20004,timeout,63013,19968,0.0,0.0,timeout,63013,20184,0.0,0.0,timeout,63015,25648,timeout,63023,127916
20211101-Geogebra/RegHendecagon-Diagonal_Side.smt2,timeout,63018,150800,timeout,63019,150768,0.0,0.0,timeout,63022,146932,0.0,0.0,timeout,63012,27340,timeout,63064,2311496
20211101-Geogebra/IsoRightTriangle-Bottema1_5b.smt2,timeout,63020,29204,timeout,63013,29164,,,sat,7514,17060,0.0,0.0,sat,172,16404,timeout,63018,134732
20211101-Geogebra/RegOctagon-ProductDiagonals_CircumRadius.smt2,timeout,63032,95176,timeout,63019,95136,0.0,0.0,timeout,63017,95660,0.0,0.0,timeout,63015,113784,timeout,63066,1385192
20211101-Geogebra/Triangle-Bottema1_1.smt2,sat,328,5964,sat,286,5940,0.0,0.0,timeout,63013,12780,0.0,0.0,sat,105,16356,timeout,63017,145204
20211101-Geogebra/Triangle-Bottema1_12.smt2,timeout,63017,81868,timeout,63017,81828,0.0,0.0,timeout,63020,81900,0.0,0.0,timeout,63014,26080,timeout,63023,241288
20211101-Geogebra/RightTriangle-Bottema8_1b.smt2,timeout,63131,2180716,timeout,63087,1790060,0.0,0.0,timeout,63149,1178376,,,sat,556,16680,timeout,63023,218072
20211101-Geogebra/RightTriangle-Bottema1_19a.smt2,timeout,63014,58280,timeout,63015,58260,0.0,0.0,timeout,63025,236500,0.0,0.0,timeout,63014,25812,timeout,63028,148208
20211101-Geogebra/Triangle-Bottema1_23.smt2,timeout,63015,57896,timeout,63017,56884,0.0,0.0,timeout,63019,182308,0.0,0.0,timeout,63014,29072,timeout,63022,276928
20211101-Geogebra/RightTriangle-Bottema1_19b.smt2,timeout,63020,58176,timeout,63017,58152,0.0,0.0,timeout,63028,663760,0.0,0.0,timeout,63014,119048,timeout,63016,112312
